,alpha_yhat,alpha_yhat_lower,alpha_yhat_upper,gamma_yhat,gamma_yhat_lower,gamma_yhat_upper,delta_yhat,delta_yhat_lower,delta_yhat_upper,sigma_yhat,sigma_yhat_lower,sigma_yhat_upper,tau_yhat,tau_yhat_lower,tau_yhat_upper
0,0.21800049472338986,0.21789495194477954,0.2181011753916912,0.09841582201707957,0.09828314415475388,0.09854144854879125,0.002998097322239553,0.002978987524582273,0.003016218481377397,0.021273753074605165,0.021268355547546546,0.021279148752633963,0.0281338573079784,0.028097612622035324,0.028171317227296013
1,0.21832547348357967,0.21815666244030063,0.21849184253380174,0.09817877667059349,0.09794537031125607,0.09841447510735361,0.003060062065756641,0.003028395182882112,0.0030957644120184575,0.021263522128065697,0.02125408322895092,0.021272936537064448,0.027974907729898656,0.027910156946619073,0.0280405585852744
2,0.21864767966513263,0.2183840237769861,0.21890966003495146,0.0979446641962149,0.09760313968312165,0.0982843060461802,0.0031226686178056845,0.0030757362198403893,0.003174638260432865,0.021253398337695528,0.021239232644843026,0.021267577112490704,0.027818432265950557,0.02772285200608284,0.027918495561631517
3,0.21896713218765146,0.21860592504371668,0.21930559817942877,0.09771344275861361,0.09725234414987922,0.09815515408079875,0.0031859107521668754,0.003120064066701589,0.0032601023737329105,0.021243380533221827,0.0212234365568697,0.021262370310172512,0.027664383721301682,0.027533795767188528,0.027799764065894926
4,0.21928384993726766,0.21883156508720414,0.2197167063596792,0.09748507123176185,0.09686922907566037,0.0980478614387958,0.00324978204938889,0.003157834916242801,0.0033488894674612774,0.021233467558107066,0.02120830843085525,0.021257872756282117,0.027512715990131522,0.027340321688162587,0.027684749045876762
5,0.21959785176441948,0.21903975389867375,0.22014508298991375,0.09725950918467585,0.09653631853780202,0.09797900798297712,0.0033142759013140163,0.0032000512007056506,0.00344381146149561,0.021223658269369138,0.021192820334060954,0.021253917369408473,0.027363384026234245,0.02715667459435617,0.02756950856826956
6,0.21990915648168868,0.2192196526663991,0.22057102606105203,0.09703671686748869,0.09616544478519543,0.09791197557068625,0.003379385515683044,0.003242715125194501,0.003541478724212803,0.02121395153740421,0.021175788324977123,0.02124887446701574,0.027216343814522422,0.026967242294297346,0.027469474273797857
7,0.22021778286169438,0.21939545346543243,0.22099257084382892,0.09681665519784594,0.09576385534694772,0.09777489678013723,0.0034451039208141924,0.00327575291402857,0.0036369008806876814,0.021204346245812203,0.021159754421800354,0.02124657178453749,0.027071552343400956,0.02678012738433572,0.027367147253009292
8,0.2205237496350435,0.21958726193068268,0.22140022294243197,0.09659928574761535,0.09539625404097783,0.09772809231838818,0.0035114239703503596,0.00331598438630955,0.0037315389429449534,0.02119484129122493,0.021143201095607512,0.02124422541735771,0.0269289675779817,0.026594446009560804,0.02726761475340158
9,0.22082707548833722,0.2197601662119534,0.22184764042896707,0.09638457072990292,0.09505923324815642,0.09770992577405394,0.003578338348069058,0.003354442821543492,0.0038383020601694046,0.02118543558313676,0.021126816742005648,0.021241650633068033,0.026788548434110302,0.02641995871655296,0.027193135149220466
10,0.22112777906223188,0.21991979488785554,0.222304729943345,0.09617247298636683,0.09471123755189136,0.0976601542548725,0.0036458395727494344,0.0033923571259383105,0.003941953714642888,0.021176128043737835,0.02110827942996762,0.021239851715294165,0.026650254753177807,0.026225077005953144,0.027096396039107774
11,0.22142587894955365,0.2200919578453463,0.2227079365107382,0.09596295597482205,0.09433383087856725,0.09763650099227189,0.0037139200030908487,0.003424638078466879,0.004053687579867212,0.021166917607749764,0.021091018326786115,0.021236600643365036,0.026514047277690724,0.02605547558429554,0.027017777525562923
12,0.2217213936934664,0.2202202184980182,0.2231671143126163,0.0957559837571277,0.09394624749925592,0.09755016703021818,0.003782571842677549,0.003456793769272066,0.004165661525141158,0.02115780322226375,0.021074224307155765,0.021234250673710833,0.026379887627574077,0.025882641106674556,0.02692097479997279
13,0.2220143417856918,0.22033680564405025,0.22363365919146821,0.09555152098735022,0.09355905679937637,0.0975384769923837,0.003851787144984065,0.0034888066332456067,0.004297100899989154,0.021148783846581094,0.02105727984125924,0.0212344270536985,0.026247738277182953,0.025701127558725362,0.02683756642768086
14,0.22230474166478015,0.22047133724685236,0.22405773904497694,0.09534953290019506,0.09318069964034513,0.09754196149721656,0.003921557818415991,0.0035161000858113076,0.004407711312170346,0.021139858452056126,0.021040732094190957,0.02123604302405444,0.026117562532999006,0.025522314277875085,0.026773689308560777
15,0.22259261171443218,0.22061218089647064,0.22453615507758276,0.0951499852997001,0.09280438722885266,0.09751405682880536,0.003991875631380973,0.003544156739310433,0.004540361011083072,0.021131026021941342,0.021024099117889425,0.021235744216082316,0.025989324511989164,0.025326124549508857,0.026712281649274024
16,0.22287797026186965,0.22075557362622156,0.2249826255792594,0.09495284454818416,0.09235545790193132,0.09751153249667494,0.004062732217384739,0.003575308538997414,0.004666829174940643,0.021122285551234923,0.02100390694992505,0.0212353501331451,0.025862989120604654,0.02515130848573729,0.026644855677630648
17,0.22316083557625546,0.22085649676316307,0.22551811807307345,0.09475807755544395,0.09195274955373331,0.09751865093462597,0.004134119080147152,0.003597865790282248,0.004798843175662002,0.02111363604653043,0.020986763440526503,0.021235480388719034,0.02573852203439923,0.024980208498353123,0.02660109523858123
18,0.22344122586716084,0.22093681100121854,0.2259745401376982,0.09456565176819345,0.09156877087029103,0.09752435873645168,0.004206027598733355,0.0036205340003679248,0.004934624516515244,0.0211050765258687,0.020969992607864106,0.02123569707019114,0.02561588967824626,0.024814542220660117,0.02654353041866392
19,0.22371915928307984,0.22106241039544725,0.22641776064983246,0.09437553515973925,0.09120640865601846,0.09754437803893164,0.004278449032695156,0.0036456141218234486,0.005082926430760234,0.02109660601859195,0.020950965477679388,0.021236796119233906,0.025495059207135143,0.024644323200338148,0.026505275739518937
20,0.22399465390999007,0.22112158290896797,0.22687829946886695,0.09418769621988615,0.0908411193175018,0.09756762726333577,0.004351374527217954,0.0036730650397147927,0.0052290668349628,0.021088223565199953,0.020930256810202354,0.0212379130075968,0.025375998487528036,0.024468374996965386,0.026460748887830413
